home_team,away_team,game_date
Los Angeles Lakers,Charlotte Hornets,2025-01-09
Oklahoma City Thunder,Indiana Pacers,2025-06-16
New Orleans Pelicans,Milwaukee Bucks,2025-01-22
Boston Celtics,Orlando Magic,2025-04-23
Cleveland Cavaliers,Miami Heat,2025-04-23
Detroit Pistons,New York Knicks,2025-04-24
Milwaukee Bucks,Indiana Pacers,2025-04-27
Miami Heat,Cleveland Cavaliers,2025-04-28
Indiana Pacers,New York Knicks,2025-05-25
Orlando Magic,Atlanta Hawks,2025-04-15
Golden State Warriors,Memphis Grizzlies,2025-04-15
Chicago Bulls,Miami Heat,2025-04-16
Sacramento Kings,Dallas Mavericks,2025-04-16
New York Knicks,Detroit Pistons,2025-04-19
Atlanta Hawks,Miami Heat,2025-04-18
Indiana Pacers,Milwaukee Bucks,2025-04-19
Cleveland Cavaliers,Miami Heat,2025-04-20
Denver Nuggets,Los Angeles Clippers,2025-04-19
Los Angeles Lakers,Minnesota Timberwolves,2025-04-19
Boston Celtics,Orlando Magic,2025-04-20
New York Knicks,Detroit Pistons,2025-04-21
Houston Rockets,Golden State Warriors,2025-04-20
Memphis Grizzlies,Dallas Mavericks,2025-04-18
Oklahoma City Thunder,Memphis Grizzlies,2025-04-20
Denver Nuggets,Los Angeles Clippers,2025-04-21
Indiana Pacers,Milwaukee Bucks,2025-04-22
Los Angeles Lakers,Minnesota Timberwolves,2025-04-22
Oklahoma City Thunder,Memphis Grizzlies,2025-04-22
Houston Rockets,Golden State Warriors,2025-04-23
Los Angeles Clippers,Denver Nuggets,2025-04-24
Memphis Grizzlies,Oklahoma City Thunder,2025-04-24
Milwaukee Bucks,Indiana Pacers,2025-04-25
Minnesota Timberwolves,Los Angeles Lakers,2025-04-25
Orlando Magic,Boston Celtics,2025-04-25
Miami Heat,Cleveland Cavaliers,2025-04-26
Golden State Warriors,Houston Rockets,2025-04-26
Memphis Grizzlies,Oklahoma City Thunder,2025-04-26
Los Angeles Clippers,Denver Nuggets,2025-04-26
Detroit Pistons,New York Knicks,2025-04-27
Minnesota Timberwolves,Los Angeles Lakers,2025-04-27
Orlando Magic,Boston Celtics,2025-04-27
Golden State Warriors,Houston Rockets,2025-04-28
Denver Nuggets,Los Angeles Clippers,2025-04-29
Indiana Pacers,Milwaukee Bucks,2025-04-29
New York Knicks,Detroit Pistons,2025-04-29
Boston Celtics,Orlando Magic,2025-04-29
Los Angeles Lakers,Minnesota Timberwolves,2025-04-30
Boston Celtics,New York Knicks,2025-05-05
Houston Rockets,Golden State Warriors,2025-04-30
Detroit Pistons,New York Knicks,2025-05-01
Los Angeles Clippers,Denver Nuggets,2025-05-01
Cleveland Cavaliers,Indiana Pacers,2025-05-04
Golden State Warriors,Houston Rockets,2025-05-02
Denver Nuggets,Los Angeles Clippers,2025-05-03
Houston Rockets,Golden State Warriors,2025-05-04
Oklahoma City Thunder,Denver Nuggets,2025-05-05
Boston Celtics,New York Knicks,2025-05-07
Cleveland Cavaliers,Indiana Pacers,2025-05-06
Minnesota Timberwolves,Golden State Warriors,2025-05-06
Oklahoma City Thunder,Denver Nuggets,2025-05-07
Minnesota Timberwolves,Golden State Warriors,2025-05-08
Indiana Pacers,Cleveland Cavaliers,2025-05-09
Denver Nuggets,Oklahoma City Thunder,2025-05-09
New York Knicks,Boston Celtics,2025-05-10
Golden State Warriors,Minnesota Timberwolves,2025-05-10
Denver Nuggets,Oklahoma City Thunder,2025-05-11
Indiana Pacers,Cleveland Cavaliers,2025-05-11
New York Knicks,Boston Celtics,2025-05-12
Golden State Warriors,Minnesota Timberwolves,2025-05-12
Boston Celtics,New York Knicks,2025-05-14
Cleveland Cavaliers,Indiana Pacers,2025-05-13
Oklahoma City Thunder,Denver Nuggets,2025-05-13
New York Knicks,Indiana Pacers,2025-05-21
Minnesota Timberwolves,Golden State Warriors,2025-05-14
Denver Nuggets,Oklahoma City Thunder,2025-05-15
New York Knicks,Boston Celtics,2025-05-16
Oklahoma City Thunder,Denver Nuggets,2025-05-18
Oklahoma City Thunder,Minnesota Timberwolves,2025-05-20
Oklahoma City Thunder,Minnesota Timberwolves,2025-05-22
New York Knicks,Indiana Pacers,2025-05-23
Minnesota Timberwolves,Oklahoma City Thunder,2025-05-24
Minnesota Timberwolves,Oklahoma City Thunder,2025-05-26
Indiana Pacers,New York Knicks,2025-05-27
Oklahoma City Thunder,Minnesota Timberwolves,2025-05-28
New York Knicks,Indiana Pacers,2025-05-29
Indiana Pacers,New York Knicks,2025-05-31
Oklahoma City Thunder,Indiana Pacers,2025-06-05
Oklahoma City Thunder,Indiana Pacers,2025-06-08
Indiana Pacers,Oklahoma City Thunder,2025-06-11
Indiana Pacers,Oklahoma City Thunder,2025-06-13
Indiana Pacers,Oklahoma City Thunder,2025-06-19
Oklahoma City Thunder,Indiana Pacers,2025-06-22
Detroit Pistons,Dallas Mavericks,2025-11-01
Orlando Magic,New York Knicks,2025-12-13
Oklahoma City Thunder,San Antonio Spurs,2025-12-13
New York Knicks,San Antonio Spurs,2025-12-16
Chicago Bulls,Miami Heat,2026-01-08
Boston Celtics,Philadelphia 76ers,2023-05-03
Phoenix Suns,Denver Nuggets,2023-05-05
Miami Heat,New York Knicks,2023-05-06
Golden State Warriors,Los Angeles Lakers,2023-05-04
Miami Heat,New York Knicks,2023-05-08
Philadelphia 76ers,Boston Celtics,2023-05-05
Miami Heat,New York Knicks,2023-05-12
Boston Celtics,Miami Heat,2023-05-17
Boston Celtics,Miami Heat,2023-05-19
Miami Heat,Boston Celtics,2023-05-21
Los Angeles Lakers,Golden State Warriors,2023-05-06
Miami Heat,Boston Celtics,2023-05-23
Boston Celtics,Miami Heat,2023-05-25
Miami Heat,Boston Celtics,2023-05-27
Boston Celtics,Miami Heat,2023-05-29
Denver Nuggets,Miami Heat,2023-06-01
Philadelphia 76ers,Boston Celtics,2023-05-07
Phoenix Suns,Denver Nuggets,2023-05-07
Los Angeles Lakers,Golden State Warriors,2023-05-08
Boston Celtics,Philadelphia 76ers,2023-05-09
Denver Nuggets,Phoenix Suns,2023-05-09
New York Knicks,Miami Heat,2023-05-10
Golden State Warriors,Los Angeles Lakers,2023-05-10
Philadelphia 76ers,Boston Celtics,2023-05-11
Phoenix Suns,Denver Nuggets,2023-05-11
Boston Celtics,Philadelphia 76ers,2023-05-14
Los Angeles Lakers,Golden State Warriors,2023-05-12
Denver Nuggets,Los Angeles Lakers,2023-05-16
Denver Nuggets,Los Angeles Lakers,2023-05-18
Los Angeles Lakers,Denver Nuggets,2023-05-20
Los Angeles Lakers,Denver Nuggets,2023-05-22
Miami Heat,Denver Nuggets,2023-06-07
Miami Heat,Denver Nuggets,2023-06-09
Denver Nuggets,Miami Heat,2023-06-12
Denver Nuggets,Miami Heat,2023-06-04
Los Angeles Lakers,Indiana Pacers,2023-12-09
Utah Jazz,Golden State Warriors,2024-01-17
Philadelphia 76ers,Miami Heat,2024-04-17
New Orleans Pelicans,Los Angeles Lakers,2024-04-16
Sacramento Kings,Golden State Warriors,2024-04-16
Chicago Bulls,Atlanta Hawks,2024-04-17
Milwaukee Bucks,Indiana Pacers,2024-04-21
Cleveland Cavaliers,Orlando Magic,2024-04-20
Minnesota Timberwolves,Phoenix Suns,2024-04-20
Los Angeles Clippers,Dallas Mavericks,2024-04-21
New Orleans Pelicans,Sacramento Kings,2024-04-19
Denver Nuggets,Los Angeles Lakers,2024-04-20
Miami Heat,Chicago Bulls,2024-04-19
New York Knicks,Philadelphia 76ers,2024-04-20
Boston Celtics,Miami Heat,2024-04-21
Denver Nuggets,Los Angeles Lakers,2024-04-22
Oklahoma City Thunder,New Orleans Pelicans,2024-04-21
Cleveland Cavaliers,Orlando Magic,2024-04-22
New York Knicks,Philadelphia 76ers,2024-04-22
Minnesota Timberwolves,Phoenix Suns,2024-04-23
Milwaukee Bucks,Indiana Pacers,2024-04-23
Los Angeles Clippers,Dallas Mavericks,2024-04-23
Boston Celtics,Miami Heat,2024-04-24
Oklahoma City Thunder,New Orleans Pelicans,2024-04-24
Philadelphia 76ers,New York Knicks,2024-04-25
Orlando Magic,Cleveland Cavaliers,2024-04-25
Los Angeles Lakers,Denver Nuggets,2024-04-25
Indiana Pacers,Milwaukee Bucks,2024-04-26
Dallas Mavericks,Los Angeles Clippers,2024-04-26
Phoenix Suns,Minnesota Timberwolves,2024-04-26
Miami Heat,Boston Celtics,2024-04-27
New Orleans Pelicans,Oklahoma City Thunder,2024-04-27
Orlando Magic,Cleveland Cavaliers,2024-04-27
Los Angeles Lakers,Denver Nuggets,2024-04-27
Indiana Pacers,Milwaukee Bucks,2024-05-02
Philadelphia 76ers,New York Knicks,2024-04-28
New York Knicks,Indiana Pacers,2024-05-06
